,Operation name,Status,Event category,Level,Time,Subscription,Event initiated by,Resource type,Resource group,Resource
,Supprimer le déploiement,Accepted,Administrative,Informational,2024-06-29T07:02:02.229Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Resources/deployments/publishing_1719644506968
,Supprimer le déploiement,Started,Administrative,Informational,2024-06-29T07:02:00.416Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Resources/deployments/publishing_1719644506968
,Obtenir l'état de l'opération de déploiement,Succeeded,Administrative,Informational,2024-06-29T07:02:00.225Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments/operationStatuses,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/publishing_1719644506968
,Créer un déploiement,Succeeded,Administrative,Informational,2024-06-29T07:01:59.213Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Resources/deployments/publishing_1719644506968
,Créer un déploiement,Started,Administrative,Informational,2024-06-29T07:01:49.895Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Resources/deployments/publishing_1719644506968
,Créer un déploiement,Succeeded,Administrative,Informational,2024-06-29T07:01:52.676Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Resources/deployments/publishing_1719644506968
,Créer un déploiement,Accepted,Administrative,Informational,2024-06-29T07:01:52.707Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.Resources/deployments,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.Resources/deployments/publishing_1719644506968
,Create or Update Dataset,Started,Administrative,Informational,2024-06-29T07:01:54.494Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.DataFactory/factories/datasets,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.DataFactory/factories/COE-DE-DF/datasets/ds_dest_blob
,Create or Update Dataset,Started,Administrative,Informational,2024-06-29T07:01:54.494Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.DataFactory/factories/datasets,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.DataFactory/factories/COE-DE-DF/datasets/ds_source_sftp
,Create or Update Dataset,Succeeded,Administrative,Informational,2024-06-29T07:01:56.103Z,fbf69640-cc5e-44b7-8568-908cc461fa74,soumyadeep2000@gmail.com,Microsoft.DataFactory/factories/datasets,COE,/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourcegroups/COE/providers/Microsoft.DataFactory/factories/COE-DE-DF/datasets/ds_dest_blob
